sim_time,scan_min,amcl_x,amcl_y,cov_x,cov_y,gt_x,gt_y,gt_yaw,error_dist
1783921720.610,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921721.639,0.578,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921722.662,0.576,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921723.689,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921724.723,0.576,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921725.759,0.578,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921726.787,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921727.816,0.574,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921728.852,0.580,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921729.888,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921730.918,0.573,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921731.956,0.582,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921732.990,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921734.011,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921735.032,0.596,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921736.061,0.608,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921737.087,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921738.113,0.599,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921739.136,0.606,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921740.156,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921741.188,0.590,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921742.214,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921743.252,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921744.281,0.582,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921745.300,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921746.331,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921747.362,0.584,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921748.393,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921749.417,0.577,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921750.442,0.587,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921751.466,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921752.492,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921753.527,0.589,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921754.559,0.613,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921755.579,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921756.601,0.592,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921757.625,0.611,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921758.649,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921759.674,0.595,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921760.700,0.599,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921761.723,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921762.753,0.597,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921763.776,0.597,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921764.798,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921765.825,0.610,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921766.849,0.594,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921767.883,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921768.911,0.602,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921769.936,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921770.965,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921772.001,0.583,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921773.038,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921774.069,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921775.090,0.585,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921776.116,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921777.144,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921778.171,0.588,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921779.202,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921780.229,0.574,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921781.265,0.580,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921782.286,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921783.324,0.573,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921784.354,0.573,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921785.385,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921786.407,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921787.430,0.585,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921788.453,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921789.477,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921790.498,0.587,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921791.518,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921792.535,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921793.560,0.590,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921794.586,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921795.611,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921796.642,0.603,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921797.668,0.601,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921798.692,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921799.728,0.606,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921800.761,0.599,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921801.784,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921802.807,0.608,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921803.832,0.596,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921804.879,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921805.910,0.610,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921806.932,0.594,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921807.960,0.572,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921808.996,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921810.033,0.580,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921811.059,0.574,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921812.082,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921813.109,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921814.133,0.586,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921815.154,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921816.178,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921817.206,0.600,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921818.227,0.605,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921819.274,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921820.302,0.602,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921821.338,0.603,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921822.355,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921823.384,0.613,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921824.417,0.589,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921825.447,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921826.472,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921827.486,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921828.515,0.588,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921829.539,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921830.564,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921831.595,0.591,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921832.618,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921833.646,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921834.671,0.604,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921835.701,0.601,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921836.734,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921837.762,0.606,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921838.794,0.598,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
